Marque;Modèle;Prix;Carburant;Chevaux;Type_moteur;Cylindrée;CO2;KM;Année;Transmission;Puissance;Puissance_fiscale
CITROEN;C3;18990;Essence M;83;PureTech;1.2;122;41095;2021;Automatique;61.0465;5.152971111111111
PEUGEOT;2008;15299;Essence;130;BlueHDi;1.5;125;74776;2020;Manuelle;95.61500000000001;6.602377777777778
CITROEN;C3;18499;Essence;110;PureTech;1.2;132;81262;2020;Manuelle;80.905;6.169533333333334
PEUGEOT;208;18999;Essence;100;PureTech;1.2;118;20485;2022;Manuelle;73.55000000000001;5.564222222222223
DACIA;Duster;13799;Essence;100;TCe;1.0;121;74725;2020;Manuelle;73.55000000000001;5.63088888888889
CITROEN;C3;19990;Essence;110;PureTech;1.2;123;19119;2022;Automatique;80.905;5.969533333333334
CITROEN;C3;19490;Essence;83;PureTech;1.2;122;48949;2021;Automatique;61.0465;5.152971111111111
PEUGEOT;208;19799;HYBRIDE;100;PureTech;1.2;118;43140;2021;AUTOMATIQUE;73.55000000000001;5.564222222222223
RENAULT;Captur;34778;Electrique;90;TCe;0.9;114;12810;2021;Automatique;66.19500000000001;5.181133333333333
DACIA;Duster;13499;Essence;115;Blue;1.5;108;13124;2020;Manuelle;84.58250000000001;5.7833000000000006
CITROEN;C3;17999;Electrique;83;PureTech;1.2;122;41008;2021;Automatique;61.0465;5.152971111111111
PEUGEOT;208;19189;Diesel;100;PureTech;1.2;118;53937;2020;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;3008;21799;Essence;130;PureTech;1.2;109;57229;2019;Automatique;95.61500000000001;6.246822222222223
CITROEN;C3;13999;Essence;83;PureTech;1.2;122;27713;2021;Manuelle;61.0465;5.152971111111111
PEUGEOT;208;16499;Essence;100;PureTech;1.2;118;22131;2021;Automatique;73.55000000000001;5.564222222222223
CITROEN;C3;32799;Essence;110;PureTech;1.2;132;12478;2021;Automatique;80.905;6.169533333333334
PEUGEOT;2008;16499;Diesel;130;BlueHDi;1.5;125;32410;2019;Manuelle;95.61500000000001;6.602377777777778
PEUGEOT;208;28499;ESSENCE;100;PureTech;1.2;118;21250;2022;AUTOMATIQUE;73.55000000000001;5.564222222222223
CITROEN;C3;39978;Electrique;83;PureTech;1.2;122;18424;2020;Automatique;61.0465;5.152971111111111
DACIA;Duster;15455;Diesel;115;Blue;1.5;108;76864;2019;Manuelle;84.58250000000001;5.7833000000000006
PEUGEOT;208;25999;Electrique;100;PureTech;1.2;118;9862;2022;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;2008;16499;Hybride R;100;BlueHDi;1.5;86;83587;2021;Automatique;73.55000000000001;4.853111111111112
FORD;Kuga;35900;Essence;150;Flexifuel;1.5;170;63179;2019;Manuelle;110.325;8.190777777777779
PEUGEOT;208;11499;Essence;100;PureTech;1.2;118;83375;2018;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;22580;Diesel;100;PureTech;1.2;118;100354;2017;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;31480;Essence;100;PureTech;1.2;118;28226;2020;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;16499;Diesel;110;PureTech;1.2;123;121062;2019;Manuelle;80.905;5.969533333333334
PEUGEOT;208;34778;Electrique;100;PureTech;1.2;118;10000;2022;Automatique;73.55000000000001;5.564222222222223
FORD;Ecosport;11299;Essence;125;EcoBoost;1.0;147;25830;2020;Manuelle;91.9375;6.944166666666667
PEUGEOT;208;21499;Hybride;100;PureTech;1.2;118;17308;2021;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;2008;28499;DIESEL;130;BlueHDi;1.5;125;57118;2019;MANUELLE;95.61500000000001;6.602377777777778
CITROEN;C3;39990;Essence;110;PureTech;1.2;124;29055;2022;Automatique;80.905;5.991755555555556
PEUGEOT;308;16499;Essence;110;PureTech;1.2;108;79782;2016;Manuelle;80.905;5.6362000000000005
PEUGEOT;208;18990;Essence;100;PureTech;1.2;118;1142;2021;Manuelle;73.55000000000001;5.564222222222223
FORD;Ecosport;19999;Essence;125;EcoBoost;1.0;147;7649;2022;Manuelle;91.9375;6.944166666666667
CITROEN;C3;12999;Essence M;110;PureTech;1.2;121;15507;2022;Manuelle;80.905;5.925088888888889
PEUGEOT;208;16490;Diesel;100;PureTech;1.2;118;19000;2022;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;43900;Hybride R;100;PureTech;1.2;118;31709;2021;Automatique;73.55000000000001;5.564222222222223
FORD;Focus sw;19799;ESSENCE;95;EcoBlue;1.5;92;20246;2022;MANUELLE;69.8725;4.8393444444444444
PEUGEOT;208;37900;Essence;100;PureTech;1.2;118;34635;2017;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;28499;ESSENCE;100;PureTech;1.2;118;21250;2022;AUTOMATIQUE;73.55000000000001;5.564222222222223
MASERATI;Levante;16299;Gpl;430;V6;3.0;273;4121;2022;Manuelle;316.26500000000004;18.717266666666667
RENAULT;Clio;11990;Diesel;90;dCi;1.5;90;78867;2020;Automatique;66.19500000000001;4.6478
VOLKSWAGEN;T-roc;19999;Essence;150;TSI;1.5;117;49897;2019;Manuelle;110.325;7.013
CITROEN;C3;14499;Essence;83;PureTech;1.2;123;41522;2021;Manuelle;61.0465;5.1751933333333335
SEAT;Ateca;15999;Essence M;150;TSI;1.5;117;18448;2022;Automatique;110.325;7.013
PEUGEOT;208;17999;Electrique;100;PureTech;1.2;118;9300;2021;Automatique;73.55000000000001;5.564222222222223
CITROEN;C3;16690;Essence;83;PureTech;1.2;123;45916;2017;Manuelle;61.0465;5.1751933333333335
PEUGEOT;208;18299;Essence;100;PureTech;1.2;118;5794;2022;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;25999;Essence;100;PureTech;1.2;118;29840;2020;Automatique;73.55000000000001;5.564222222222223
CITROEN;C3;22499;Diesel;83;PureTech;1.2;122;106632;2013;Manuelle;61.0465;5.152971111111111
PEUGEOT;208;17999;Essence;75;PureTech;1.2;119;59834;2016;Manuelle;55.1625;4.850944444444444
PEUGEOT;308;19799;HYBRIDE;110;PureTech;1.2;108;43140;2021;AUTOMATIQUE;80.905;5.6362000000000005
PEUGEOT;208;18399;Essence;100;PureTech;1.2;118;17010;2021;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;33900;Essence;100;PureTech;1.2;118;74525;2018;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;19799;ESSENCE;83;PureTech;1.2;123;20246;2022;MANUELLE;61.0465;5.1751933333333335
